Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Bird species, threatened",EN.BIR.THRD.NO,Afghanistan,AFG,..,..,..,..,..,..,..,..,16,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Albania,ALB,..,..,..,..,..,..,..,..,8,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Algeria,DZA,..,..,..,..,..,..,..,..,15,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,American Samoa,ASM,..,..,..,..,..,..,..,..,8,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Andorra,AND,..,..,..,..,..,..,..,..,3,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Angola,AGO,..,..,..,..,..,..,..,..,32,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,3,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Argentina,ARG,..,..,..,..,..,..,..,..,52,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Armenia,ARM,..,..,..,..,..,..,..,..,14,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Aruba,ABW,..,..,..,..,..,..,..,..,2,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Australia,AUS,..,..,..,..,..,..,..,..,52,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Austria,AUT,..,..,..,..,..,..,..,..,13,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Azerbaijan,AZE,..,..,..,..,..,..,..,..,17,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,10,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Bahrain,BHR,..,..,..,..,..,..,..,..,7,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Bangladesh,BGD,..,..,..,..,..,..,..,..,36,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Barbados,BRB,..,..,..,..,..,..,..,..,4,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Belarus,BLR,..,..,..,..,..,..,..,..,9,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Belgium,BEL,..,..,..,..,..,..,..,..,8,..,..,..
"Bird species, threatened",EN.BIR.THRD.NO,Belize,BLZ,..,..,..,..,..,..,..,..,6,..,..,..
